fid,srtm_36_04,X,Y
"455",567.0000000000,-2.7045833333,42.3912500000
"456",569.0000000000,-2.7037500000,42.3912500000
"457",573.0000000000,-2.7029166667,42.3912500000
"458",572.0000000000,-2.7020833333,42.3912500000
"459",575.0000000000,-2.7012500000,42.3912500000
"460",577.0000000000,-2.7004166667,42.3912500000
"461",582.0000000000,-2.6995833333,42.3912500000
"462",586.0000000000,-2.6987500000,42.3904166670
"463",586.0000000000,-2.6979166667,42.3904166670
"464",587.0000000000,-2.6970833333,42.3904166670
"465",588.0000000000,-2.6962500000,42.3904166670
"466",591.0000000000,-2.6954166667,42.3904166670
"467",594.0000000000,-2.6945833333,42.3904166670
"468",594.0000000000,-2.6937500000,42.3904166670
"469",598.0000000000,-2.6929166667,42.3904166670
"470",598.0000000000,-2.6920833333,42.3904166670
"471",601.0000000000,-2.6912500000,42.3904166670
"472",602.0000000000,-2.6904166667,42.3904166670
"473",604.0000000000,-2.6895833333,42.3904166670
"474",605.0000000000,-2.6887500000,42.3904166670
"475",606.0000000000,-2.6879166667,42.3904166670
"476",605.0000000000,-2.6870833333,42.3904166670
"477",607.0000000000,-2.6862500000,42.3904166670
"478",608.0000000000,-2.6854166667,42.3904166670
"479",611.0000000000,-2.6845833333,42.3904166670
"480",614.0000000000,-2.6837500000,42.3904166670
"481",616.0000000000,-2.6829166667,42.3904166670
"482",620.0000000000,-2.6820833333,42.3904166670
"483",621.0000000000,-2.6812500000,42.3904166670
"484",625.0000000000,-2.6804166667,42.3904166670
"485",624.0000000000,-2.6795833333,42.3904166670
"486",621.0000000000,-2.6787500000,42.3904166670
"487",619.0000000000,-2.6779166667,42.3904166670
"488",619.0000000000,-2.6770833333,42.3904166670
"489",623.0000000000,-2.6762500000,42.3904166670
"490",625.0000000000,-2.6754166667,42.3904166670
"491",633.0000000000,-2.6745833333,42.3904166670
"492",637.0000000000,-2.6737500000,42.3904166670
"493",639.0000000000,-2.6729166667,42.3904166670
"494",639.0000000000,-2.6720833333,42.3904166670
"495",642.0000000000,-2.6712500000,42.3904166670
"496",641.0000000000,-2.6704166667,42.3904166670
"497",645.0000000000,-2.6695833333,42.3904166670
"498",648.0000000000,-2.6687500000,42.3904166670
"499",651.0000000000,-2.6679166667,42.3904166670
"500",651.0000000000,-2.6670833333,42.3904166670
"501",648.0000000000,-2.6662500000,42.3904166670
"502",643.0000000000,-2.6654166667,42.3904166670
"503",647.0000000000,-2.6645833333,42.3904166670
"504",655.0000000000,-2.6637500000,42.3904166670
"505",657.0000000000,-2.6629166667,42.3904166670
"506",659.0000000000,-2.6620833333,42.3904166670
"507",661.0000000000,-2.6612500000,42.3904166670
"508",665.0000000000,-2.6604166667,42.3904166670
"509",667.0000000000,-2.6595833333,42.3904166670
"510",667.0000000000,-2.6587500000,42.3904166670
"511",670.0000000000,-2.6579166667,42.3904166670
"512",669.0000000000,-2.6570833333,42.3904166670
"513",671.0000000000,-2.6562500000,42.3904166670
"514",671.0000000000,-2.6554166667,42.3904166670
"515",676.0000000000,-2.6545833333,42.3904166670
"516",679.0000000000,-2.6537500000,42.3904166670
"517",682.0000000000,-2.6529166667,42.3904166670
"518",694.0000000000,-2.6520833333,42.3904166670
"519",708.0000000000,-2.6512500000,42.3904166670
"520",718.0000000000,-2.6504166667,42.3904166670
"521",722.0000000000,-2.6495833333,42.3904166670
"522",732.0000000000,-2.6487500000,42.3904166670
"523",730.0000000000,-2.6479166667,42.3904166670
"524",717.0000000000,-2.6470833333,42.3904166670
"525",712.0000000000,-2.6462500000,42.3904166670
"526",712.0000000000,-2.6454166667,42.3904166670
"527",716.0000000000,-2.6445833333,42.3904166670
"528",720.0000000000,-2.6437500000,42.3904166670
"529",723.0000000000,-2.6429166667,42.3904166670
"530",724.0000000000,-2.6420833333,42.3904166670
"531",730.0000000000,-2.6412500000,42.3904166670
"532",736.0000000000,-2.6404166667,42.3904166670
"533",744.0000000000,-2.6395833333,42.3904166670
"534",757.0000000000,-2.6387500000,42.3904166670
